Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,FoerderungPhase1,DM_DFG_Mittel
0,41,89,0,16,72,0,,152.2,.162,0,0,1,0,7.964722248677315
0,42,89,0,0,,.0282167042820457,0,,0,.003,0,1,0,7.964722248677315
0,43,89,0,0,,0,,0,0,0,0,1,0,7.964722248677315
0,44,89,0,2.4,2.5999999,.0004464285712332,.4550886564941605,29.6,.034599997,.00020000001,.00040000002,1,0,7.964722248677315
0,47,89,0,0,,0,,99.599998,.1186,0,0,1,0,7.964722248677315
0,48,89,0,5.2,21.799999,.4572266005988057,1.257307877892924,386.39999,.38639998,.014,.003,1,0,7.964722248677315
0,49,89,0,3,7.1999998,.0387549004958143,1.134189676384183,497.79999,.50920004,0,0,1,0,7.964722248677315
0,50,89,0,0,1.4,.0011160714280829,0,129.2,.1292,0,0,1,0,7.964722248677315
0,55,89,0,0,,0,,457.79999,.4578,0,0,1,0,7.964722248677315
0,56,89,0,15,65,.9367267123464823,5.101723621506348,1466.6,1.5201999,.022600001,.0088,1,0,7.964722248677315
0,9,90,0,14.2,80.599998,6.217019869463576,7.590566988568598,193.39999,.1934,.067400001,.0104,1,0,5.587133149272922
0,13,90,0,7,46.200001,.505662043678163,3.943674384550592,170.2,.17019999,.61620003,.034200002,1,0,5.587133149272922
0,15,90,0,2.6,19.4,0,,73.599998,.073600002,.0132,.0040000002,1,0,5.587133149272922
0,21,90,0,9.4,23.200001,.4704888569975618,3.153338977888423,89,.089000002,.1726,.0136,1,0,5.587133149272922
0,25,90,0,6.6,13,.0395339351760027,1.843714807653989,514,.514,.0071999999,.0020000001,1,0,5.587133149272922
0,31,90,0,19,134,6.130025352840293,6.459046035374397,1048,1.048,.66320002,.069600001,1,0,5.587133149272922
0,32,90,0,9.199999999999999,16.799999,.16500072931612,2.020793959669363,169.8,.1698,.034599997,.0078000003,1,0,5.587133149272922
0,33,90,0,0,,0,.0731773698410775,,0,0,0,1,0,5.587133149272922
0,35,90,0,0,1,0,,,0,.003,0,1,0,5.587133149272922
0,37,90,0,5.8,32.200001,2.019569791081126,2.143277005779972,6.4000001,.0064000003,.99220002,.059999999,1,0,5.587133149272922
0,42,90,0,0,,0,.2928158227057553,,0,0,0,1,0,5.587133149272922
0,49,90,0,0,,.0015135135134,.4967077262035717,,0,0,0,1,0,5.587133149272922
0,55,90,0,0,,0,,192,.192,0,0,1,0,5.587133149272922
0,56,90,0,6,9.8000002,.0566410827609534,1.27802797202045,91.800003,.091800004,.0061999997,.0016000001,1,0,5.587133149272922
0,3,91,0,3.2,7.4000001,.0010989010985772,.0945895826839795,,0,0,.00040000002,1,0,17.85164446464615
0,4,91,0,0,,.0027901785702072,.0016741071421243,,0,0,0,1,0,17.85164446464615
0,5,91,0,0,,.0015737373318733,.1875700822071361,0,.0076000001,.001,.0012000001,1,0,17.85164446464615
0,6,91,0,18.2,65.599998,.5748223141590625,6.902555944914107,1477.6,1.4776,0,0,1,0,17.85164446464615
