Reputation,LuFid,EinheitlicheID,BundeslandID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,Ost,Nach1945,FoerderungPhase1
0,44,57,132,0,5.8,21.6,.1213235475046392,2.363801280999064,336,.70039999,.0099999998,.0048000002,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,44,57,132,0,6.2,29.4,.5068721952070995,2.28106971546054,241.2,.6516,.0266,.0074,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,45,57,132,0,1.8,5.5999999,.2120272287308213,.4422074277271948,81.800003,.081800006,.0099999998,.0048000002,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,45,57,132,0,2,6.8000002,.2090602832433418,.5114934954392517,119.4,.1194,.0266,.0074,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,48,57,132,0,3,10.6,.3722387438558489,.6897012974970124,235.39999,.23539999,.0071999999,.0016000001,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,48,57,132,0,2.8,14.2,.5855633921184192,.7900016179558461,247.39999,.2474,.028000001,.0038000001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,49,57,132,0,2.8,18.4,.5153397986429847,1.79901461758431,122.6,.2906,.00080000004,0,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,49,57,132,0,3,25.799999,.6301115649969841,2.078627977968927,114.4,.29079998,.0098000001,.00040000002,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,50,57,132,0,1.8,4.1999998,.0764765485570643,.4538117461959911,39.799999,.039799999,0,0,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,50,57,132,0,1.4,4.4000001,.1321080227066866,1.145873917427119,73.800003,.073800005,0,0,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,53,57,132,0,1,4,0,,,0,.0020000001,.0012000001,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,53,57,132,0,1,4,0,,,0,.0055,.0024999999,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,56,57,132,0,13.2,51,.477135752806269,5.028442146331789,1538,1.538,.047200002,.0049999999,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,56,57,132,0,12,52.200001,.8669231876927406,4.356921092806094,1501.4,1.5014,.1318,.0104,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,3,58,141,0,4,5.5999999,.0400571422339031,.8119220083305126,87.199997,.087199993,.00020000001,.00060000003,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,3,58,141,0,4,7.4000001,.1028054043174282,.6350789618310195,21.6,.021600001,.00020000001,.00060000003,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,4,58,141,0,2,1.5,0,.4085602349529897,17.200001,.032000002,.00040000002,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,5,58,141,0,6.8,8.8000002,.0729967053942594,1.658967068330178,204.39999,.5632,.0020000001,.0016000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,5,58,141,0,7.6,11.8,.0492580119200393,1.60649097156484,506.20001,.79299998,.0060000001,.0026,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,6,58,141,0,13,17.4,.350339213548413,1.860930339993338,540.40002,.54040003,0,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,6,58,141,0,12.2,22.4,.7616371587463553,2.016029611966364,338.79999,.33879998,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,8,58,141,0,17.8,49.400002,1.372931833668434,5.518803181118271,786.59998,.81340003,.0018,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,8,58,141,0,16,43,1.553634750407209,4.507573859231089,600.59998,.60620004,.0034,.00060000003,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,12,58,141,0,0,1,.0006486486486,.273575014896631,0,.0012000001,.27920002,.0068000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,12,58,141,0,1.6,9.3999996,.0278968116903997,.6424633689047493,109.2,.1322,.2766,.0044,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,13,58,141,0,20,75.599998,2.430227877424066,6.361725864362632,272,.29679999,.89499998,.035799999,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,13,58,141,0,15.6,78.199997,3.776925214046975,4.683152388166854,292.39999,.32160002,1.7078,.048999999,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,15,58,141,0,18.2,86.199997,2.840192914626207,7.401532985386398,1055.8,1.0654,.07,.0046000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,15,58,141,0,13.6,65.599998,1.689614561043725,6.032694865679506,659,.6652,.18280001,.0058000004,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,16,58,141,0,0,,0,.1164668172492327,,0,.0099999998,.00020000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,17,58,141,0,8,9.3999996,.1897452270105168,1.668985463667194,297.39999,.3768,.0012000001,.00040000002,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,17,58,141,0,10.8,19.4,.7349287617584739,2.438388552370213,298.39999,.44679999,.021399999,.0041999999,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,18,58,141,0,3,3.5999999,.0039310959302698,.3966822703683012,.80000001,.091600001,.00020000001,.00020000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,18,58,141,0,4,2.2,.0025262302829173,.5373895377051415,44.400002,.086800002,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,20,58,141,0,0,0,0,.1320218435866165,0,.001,.0018,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,20,58,141,0,.6,.80000001,0,.0715638882189739,23,.025,.0096000005,.00020000001,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,22,58,141,0,7.6,14.6,.2093650094485067,1.48151720285906,376.39999,1.0222,.0020000001,.0016000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,22,58,141,0,8.4,22.799999,.1600829560605858,1.832033595182457,1142.4,1.804,.0060000001,.0026,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,23,58,141,0,5.2,4.5999999,.0019459459458,.7092337452895751,140.39999,.2638,.00040000002,.00040000002,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,23,58,141,0,6.4,5.5999999,.0657103369757509,.9898841220235729,203.39999,.43020001,.0027999999,.0014,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,24,58,141,0,19.8,7.1999998,.163150038677093,2.562869444210194,459.60001,.65440005,.00060000003,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,24,58,141,0,14,7.8000002,.1365745811224557,2.165326576245209,373,.51160002,.0018,.00020000001,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,25,58,141,0,3,8,0,.0079006771989728,4.5,.0052499999,.048599999,.0016000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,25,58,141,0,3,11,0,,46,.059,.07,.0022,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,26,58,141,0,0,1,1.498162852663044,4.034881076764561,9.6000004,.010199999,0,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,26,58,141,0,0,.80000001,2.387112951292522,3.377398936062308,633.40002,.63340002,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,27,58,141,0,2,3,.0102334422317087,.3219702965218744,0,.037999999,.00020000001,.00020000001,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,27,58,141,0,2,3.5999999,.037341004217444,.3488672095811365,45.599998,.0634,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,28,58,141,0,0,,0,,14.333333,.014333333,.0016666666,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,29,58,141,0,1.6,1.2,.0814605412708057,.6403128264756633,0,.074000001,.00020000001,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,29,58,141,0,1.6,1.4,.0078096656513736,1.249831009622302,31.799999,.086400002,0,0,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,31,58,141,0,34.6,40.599998,.2747390435444949,5.197076211737254,1015.6,1.0666,.146,.0096000005,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,31,58,141,0,28,66,.6961240441823873,2.048070536578973,644.40002,.68220001,.3184,.018999999,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,32,58,141,0,22.4,30.6,.5470387492074411,3.961072119071269,284.20001,.55059999,.2386,.0184,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,32,58,141,0,20.4,35.200001,1.175192241237067,4.103566984934167,694.40002,1.1216,.28779998,.022200001,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
