Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,FoerderungPhase1
0,27,75,0,.25,1.5,.0064043442723178,.4135419236574491,20.799999,.0266,0,0,2,31.01979301262196,0
0,29,75,0,1,4,0,,0,.0616,0,0,1,20.35389547944164,0
0,29,75,0,1.6,2.2,.0004919392754771,.3450658264958863,0,.0040000002,.00020000001,0,2,31.01979301262196,0
0,30,75,0,11.6,37.599998,1.13129058968317,3.01880024169545,604.40002,.60440004,0,0,1,20.35389547944164,0
0,30,75,0,10,35.400002,1.409394403348742,3.128521800612496,427,.42699999,0,0,2,31.01979301262196,0
0,31,75,0,18.2,300.20001,23.74534822600463,7.422021610807952,1269.4,1.5472,.73900002,.0568,1,20.35389547944164,0
0,31,75,0,16.4,333.60001,27.91344961037857,10.09755211623362,2296.6001,2.4283998,1.7104,.101,2,31.01979301262196,0
0,32,75,0,20.4,42.200001,.5795802394331662,4.708838913109799,509.60001,1.018,.3396,.0438,1,20.35389547944164,0
0,32,75,0,18.4,55.599998,.9367660377858922,4.162047418264726,594,.71219999,.5844,.063000001,2,31.01979301262196,0
0,33,75,0,2,.5,.0022206959698286,1.618090349768544,63.5,.063500002,0,0,1,20.35389547944164,0
0,33,75,0,0,0,0,,202,.20200001,0,0,2,31.01979301262196,0
0,34,75,0,0,,0,,0,.078400001,.00020000001,.00020000001,1,20.35389547944164,0
0,34,75,0,0,,0,,.60000002,.011600001,.00040000002,0,2,31.01979301262196,0
0,36,75,0,5.4,7.1999998,.0246552940221187,1.544545094116733,218.39999,.23800001,.0014,0,1,20.35389547944164,0
0,36,75,0,9.6,6.4000001,.0660928976115843,1.442300296989824,116.2,.119,.003,.0012000001,2,31.01979301262196,0
0,37,75,1,17.8,103.4,3.264229066845523,6.577228985605504,334.39999,.35579997,3.1389999,.1758,1,20.35389547944164,0
0,37,75,1,25.2,126,7.957908141926084,6.274005918228402,429.79999,.44060001,5.4674001,.21260001,2,31.01979301262196,1
0,38,75,0,6.6,12.8,.1435956835679272,1.46399873735123,377,.41240001,.012399999,.0022,1,20.35389547944164,0
0,38,75,0,5.8,19.4,.357010556991718,1.640426907167027,482.60001,.50160003,.060200002,.0040000002,2,31.01979301262196,0
0,39,75,0,3.2,6.8000002,.0731913919102445,.2977829546083665,199.2,.1992,.0146,.00080000004,1,20.35389547944164,0
0,39,75,0,1.8,1.8,0,,29,.028999999,.030999999,.0020000001,2,31.01979301262196,0
0,40,75,0,1,28.5,1.06837385095221,3.311071245617996,,0,.015666667,.001,2,31.01979301262196,0
0,41,75,0,0,,.1350446427980307,0,0,.001,0,0,1,20.35389547944164,0
0,41,75,0,0,,0,,10.5,.0105,0,0,2,31.01979301262196,0
