Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,DM_DFG_Mittel,FoerderungPhase1
0,22,75,0,8.199999999999999,16.799999,.1423992452588385,2.302419418388082,480.60001,.61040002,.0096000005,.0032000002,31.01979301262196,0
0,23,75,0,6.2,19.200001,.1370631018936903,1.892116863332299,367.79999,.39820001,.0061999997,.0034,31.01979301262196,0
0,24,75,0,0,,0,,31,.078000002,.016000001,.001,31.01979301262196,0
0,25,75,0,13.4,66.400002,4.137064210329723,4.428639193228742,557,.55699998,.1816,.0178,31.01979301262196,0
0,26,75,0,0,.25,.0731301980293951,.633344012700903,300.20001,.35579997,0,0,31.01979301262196,0
0,27,75,0,.25,1.5,.0064043442723178,.4135419236574491,20.799999,.0266,0,0,31.01979301262196,0
0,29,75,0,1.6,2.2,.0004919392754771,.3450658264958863,0,.0040000002,.00020000001,0,31.01979301262196,0
0,30,75,0,10,35.400002,1.409394403348742,3.128521800612496,427,.42699999,0,0,31.01979301262196,0
0,31,75,0,16.4,333.60001,27.91344961037857,10.09755211623362,2296.6001,2.4283998,1.7104,.101,31.01979301262196,0
0,32,75,0,18.4,55.599998,.9367660377858922,4.162047418264726,594,.71219999,.5844,.063000001,31.01979301262196,0
0,33,75,0,0,0,0,,202,.20200001,0,0,31.01979301262196,0
0,34,75,0,0,,0,,.60000002,.011600001,.00040000002,0,31.01979301262196,0
0,36,75,0,9.6,6.4000001,.0660928976115843,1.442300296989824,116.2,.119,.003,.0012000001,31.01979301262196,0
0,37,75,1,25.2,126,7.957908141926084,6.274005918228402,429.79999,.44060001,5.4674001,.21260001,31.01979301262196,1
0,38,75,0,5.8,19.4,.357010556991718,1.640426907167027,482.60001,.50160003,.060200002,.0040000002,31.01979301262196,0
0,39,75,0,1.8,1.8,0,,29,.028999999,.030999999,.0020000001,31.01979301262196,0
0,40,75,0,1,28.5,1.06837385095221,3.311071245617996,,0,.015666667,.001,31.01979301262196,0
0,41,75,0,0,,0,,10.5,.0105,0,0,31.01979301262196,0
0,42,75,0,19.2,49.599998,1.143285791495579,5.512209557497171,1448,1.448,.0018,.00060000003,31.01979301262196,0
0,43,75,0,1,0,0,,,0,0,0,31.01979301262196,0
0,44,75,0,2.2,.80000001,.0009203321570946,.3483430367656412,21,.0328,.0096000005,.0032000002,31.01979301262196,0
0,46,75,0,6.2,19.6,.2002657699076534,2.140491319569543,158.60001,.68699998,0,0,31.01979301262196,0
0,48,75,0,4.8,10.8,.2403953097790394,1.58684539534674,768.40002,.76840001,.014,.0041999999,31.01979301262196,0
0,49,75,0,3.2,5.5999999,.1225619047126511,1.062504337248147,102.6,.132,.0034,0,31.01979301262196,0
0,50,75,0,0,,0,,8,.010600001,0,0,31.01979301262196,0
0,52,75,0,8,47,1.690148210852334,2.813855788800574,113.6,.1136,0,0,31.01979301262196,0
0,55,75,0,0,,0,,470.39999,.47040001,0,0,31.01979301262196,0
0,56,75,0,19.6,78,1.421492708730618,8.303252612594951,1764.6,1.7645999,.19139999,.026799999,31.01979301262196,0
0,3,82,0,0,9.6000004,.1254201130390268,.7881820672676488,,0,.00080000004,0,68.62528182287315,0
0,5,82,0,7,16.4,.0009174522389693,.9260347989717277,143,.5194,.0074,.0012000001,68.62528182287315,0
0,6,82,0,17.8,93.400002,1.220906208582851,7.807290430921942,1067.8,1.0678,0,0,68.62528182287315,0
0,7,82,0,0,,.0091336108206625,.1672306993254468,,0,.0074,.0012000001,68.62528182287315,0
